service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
108001,1,1,1,1,1,0,0,20231108,20231112
108002,1,1,1,1,0,0,0,20231108,20231112
108003,0,1,1,1,1,0,0,20231108,20231112
108004,0,1,1,1,1,0,0,20231108,20231112
108005,0,0,0,0,1,0,0,20231108,20231112
108006,0,0,0,0,0,1,0,20231108,20231112
108007,0,0,0,0,0,1,0,20231108,20231112
108008,0,0,0,0,0,0,1,20231108,20231112
108009,0,0,0,0,0,0,1,20231108,20231112
108010,0,0,1,1,1,1,0,20231108,20231112
108011,0,1,1,1,1,1,0,20231108,20231112
108012,0,1,1,1,1,1,0,20231108,20231112
108013,1,0,0,0,0,0,0,20231108,20231112
108014,1,0,0,0,0,0,0,20231108,20231112
108015,1,0,0,0,0,0,0,20231108,20231112
108016,0,1,0,0,0,0,0,20231108,20231112
108017,0,1,0,0,0,0,0,20231108,20231112
108018,1,0,1,1,1,0,0,20231108,20231112
108019,1,0,1,1,1,0,0,20231108,20231112
108020,0,0,1,0,0,0,0,20231108,20231112
108021,0,0,1,0,0,0,0,20231108,20231112
108022,1,1,0,1,1,0,0,20231108,20231112
108023,1,1,0,1,1,0,0,20231108,20231112
108024,0,0,0,1,0,0,0,20231108,20231112
108025,0,0,0,1,0,0,0,20231108,20231112
108026,1,1,1,0,1,0,0,20231108,20231112
108027,1,1,1,0,1,0,0,20231108,20231112
108028,0,1,1,0,0,0,0,20231108,20231112
108029,0,1,1,0,0,0,0,20231108,20231112
108030,1,0,0,1,1,0,0,20231108,20231112
108031,1,0,0,1,1,0,0,20231108,20231112
108032,1,1,0,0,1,0,0,20231108,20231112
108033,1,1,0,0,1,0,0,20231108,20231112
108034,1,1,1,1,1,0,1,20231108,20231112
108035,1,1,1,1,1,0,1,20231108,20231112
108036,1,1,1,1,1,1,0,20231108,20231112
108037,1,1,1,1,1,1,0,20231108,20231112
108038,1,1,1,1,1,1,0,20231108,20231112
108039,1,1,1,1,1,0,0,20231108,20231112
108040,1,1,1,1,0,0,1,20231108,20231112
108041,0,1,1,0,1,0,0,20231108,20231112
108042,0,1,1,0,1,0,0,20231108,20231112
208001,1,1,1,1,1,0,0,20231108,20231112
