service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
107901,1,1,1,1,1,0,0,20231102,20231105
107902,1,1,1,1,0,0,0,20231102,20231105
107903,0,1,1,1,1,0,0,20231102,20231105
107904,0,1,1,1,1,0,0,20231102,20231105
107905,0,0,0,0,1,0,0,20231102,20231105
107906,0,0,0,0,0,1,0,20231102,20231105
107907,0,0,0,0,0,1,0,20231102,20231105
107908,0,0,0,0,0,0,1,20231102,20231105
107909,0,0,0,0,0,0,1,20231102,20231105
107910,0,0,1,1,1,1,0,20231102,20231105
107911,0,1,1,1,1,1,0,20231102,20231105
107912,0,1,1,1,1,1,0,20231102,20231105
107913,1,0,0,0,0,0,0,20231102,20231105
107914,1,0,0,0,0,0,0,20231102,20231105
107915,1,0,0,0,0,0,0,20231102,20231105
107916,0,1,0,0,0,0,0,20231102,20231105
107917,0,1,0,0,0,0,0,20231102,20231105
107918,1,0,1,1,1,0,0,20231102,20231105
107919,1,0,1,1,1,0,0,20231102,20231105
107920,0,0,1,0,0,0,0,20231102,20231105
107921,0,0,1,0,0,0,0,20231102,20231105
107922,1,1,0,1,1,0,0,20231102,20231105
107923,1,1,0,1,1,0,0,20231102,20231105
107924,0,0,0,1,0,0,0,20231102,20231105
107925,0,0,0,1,0,0,0,20231102,20231105
107926,1,1,1,0,1,0,0,20231102,20231105
107927,1,1,1,0,1,0,0,20231102,20231105
107928,0,1,1,0,0,0,0,20231102,20231105
107929,0,1,1,0,0,0,0,20231102,20231105
107930,1,0,0,1,1,0,0,20231102,20231105
107931,1,0,0,1,1,0,0,20231102,20231105
107932,1,1,0,0,1,0,0,20231102,20231105
107933,1,1,0,0,1,0,0,20231102,20231105
107934,1,1,1,1,1,0,1,20231102,20231105
107935,1,1,1,1,1,0,1,20231102,20231105
107936,1,1,1,1,1,1,0,20231102,20231105
107937,1,1,1,1,1,1,0,20231102,20231105
107938,1,1,1,1,1,1,0,20231102,20231105
107939,1,1,1,1,1,0,0,20231102,20231105
107940,1,1,1,1,0,0,1,20231102,20231105
107941,0,1,1,0,1,0,0,20231102,20231105
107942,0,1,1,0,1,0,0,20231102,20231105
207901,1,1,1,1,1,0,0,20231102,20231105
