route_id,service_id,trip_id,direction_id,block_id,shape_id,direction,wheelchair_accessible,schd_trip_id
Blue,107901,792493460961,0,79022531650,307900002,0,1,R133
Blue,107901,792493460962,1,79022531650,307900002,1,1,R133
Blue,107901,792493460971,0,79022531662,307900001,0,1,R203
Blue,107901,792493460972,1,79022531662,307900001,1,1,R203
Blue,107901,792493460981,0,79022531671,307900002,0,1,R106
Blue,107901,792493460982,1,79022531671,307900002,1,1,R106
Blue,107901,792493460991,0,79022531662,307900001,0,1,R105
Blue,107901,792493460992,1,79022531662,307900001,1,1,R105
Blue,107901,792493461001,0,79022531666,307900002,0,1,R205
Blue,107901,792493461002,1,79022531666,307900002,1,1,R205
Blue,107901,792493461011,0,79022531666,307900002,0,1,R109
Blue,107901,792493461012,1,79022531666,307900002,1,1,R109
Blue,107901,792493461021,0,79022531663,307900002,0,1,R215
Blue,107901,792493461022,1,79022531663,307900002,1,1,R215
Blue,107901,792493461031,0,79022555812,307900002,0,1,R222
Blue,107901,792493461032,1,79022555812,307900002,1,1,R222
Blue,107901,792493461041,0,79022531647,307900001,0,1,R120
Blue,107901,792493461042,1,79022531647,307900001,1,1,R120
Blue,107901,792493461051,0,79022557535,307900002,0,1,R217
Blue,107901,792493461052,1,79022557535,307900002,1,1,R217
Blue,107901,792493461061,0,79022557535,307900001,0,1,R130
Blue,107901,792493461062,1,79022557535,307900001,1,1,R130
Blue,107901,792493461091,0,79022531663,307900001,0,1,R107
Blue,107901,792493461092,1,79022531663,307900001,1,1,R107
Blue,107901,792493461101,0,79022531669,307900133,0,1,R218
Blue,107901,792493461102,1,79022531669,307900133,1,1,R218
Blue,107901,792493461111,0,79022531659,307900002,0,1,R212
Blue,107901,792493461112,1,79022531659,307900002,1,1,R212
Blue,107901,792493461121,0,79022531662,307900002,0,1,R122
Blue,107901,792493461122,1,79022531662,307900002,1,1,R122
Blue,107901,792493461131,0,79022531666,307900002,0,1,R117
Blue,107901,792493461132,1,79022531666,307900002,1,1,R117
Blue,107901,792493461141,0,79022531662,307900001,0,1,R223
Blue,107901,792493461142,1,79022531662,307900001,1,1,R223
Blue,107901,792493461151,0,79022555812,307900001,0,1,R220
Blue,107901,792493461152,1,79022555812,307900001,1,1,R220
Blue,107901,792493461161,0,79022531650,307900001,0,1,R204
Blue,107901,792493461162,1,79022531650,307900001,1,1,R204
Blue,107901,792493461171,0,79022531633,307900002,0,1,R107
Blue,107901,792493461172,1,79022531633,307900002,1,1,R107
Blue,107901,792493461181,0,79022531671,307900001,0,1,R213
Blue,107901,792493461182,1,79022531671,307900001,1,1,R213
Blue,107901,792493461191,0,79022531662,307900001,0,1,R113
Blue,107901,792493461192,1,79022531662,307900001,1,1,R113
Blue,107901,792493461201,0,79022531666,307900001,0,1,R111
Blue,107901,792493461202,1,79022531666,307900001,1,1,R111
Blue,107901,792493461211,0,79022531662,307900002,0,1,R124
Blue,107901,792493461212,1,79022531662,307900002,1,1,R124
Blue,107901,792493461221,0,79022555812,307900133,0,1,R127
Blue,107901,792493461222,1,79022555812,307900133,1,1,R127
Blue,107901,792493461231,0,79022531666,307900002,0,1,R221
Blue,107901,792493461232,1,79022531666,307900002,1,1,R221
Blue,107901,792493461241,0,79022531666,307900001,0,1,R129
Blue,107901,792493461242,1,79022531666,307900001,1,1,R129
Blue,107901,792493461251,0,79022555812,307900002,0,1,R132
Blue,107901,792493461252,1,79022555812,307900002,1,1,R132
Blue,107901,792493461271,0,79022531650,307900002,0,1,R114
Blue,107901,792493461272,1,79022531650,307900002,1,1,R114
Blue,107901,792493461281,0,79022531633,307900001,0,1,R106
Blue,107901,792493461282,1,79022531633,307900001,1,1,R106
Blue,107901,792493461291,0,79022531648,307900002,0,1,R101
Blue,107901,792493461292,1,79022531648,307900002,1,1,R101
Blue,107901,792493461301,0,79022531648,307900001,0,1,R132
Blue,107901,792493461302,1,79022531648,307900001,1,1,R132
Blue,107901,792493461311,0,79022531669,307900002,0,1,R203
Blue,107901,792493461312,1,79022531669,307900002,1,1,R203
Blue,107901,792493461321,0,79022531650,307900001,0,1,R201
Blue,107901,792493461322,1,79022531650,307900001,1,1,R201
Blue,107901,792493461331,0,79022531633,307900002,0,1,R104
Blue,107901,792493461332,1,79022531633,307900002,1,1,R104
Blue,107901,792493461341,0,79022531671,307900001,0,1,R102
Blue,107901,792493461342,1,79022531671,307900001,1,1,R102
Blue,107901,792493461351,0,79022531671,307900002,0,1,R206
Blue,107901,792493461352,1,79022531671,307900002,1,1,R206
Blue,107901,792493461361,0,79022531633,307900001,0,1,R121
Blue,107901,792493461362,1,79022531633,307900001,1,1,R121
Blue,107901,792493461371,0,79022531671,307900002,0,1,R216
Blue,107901,792493461372,1,79022531671,307900002,1,1,R216
Blue,107901,792493461381,0,79022557534,307900001,0,1,R118
Blue,107901,792493461382,1,79022557534,307900001,1,1,R118
Blue,107901,792493461391,0,79022531662,307900002,0,1,R127
Blue,107901,792493461392,1,79022531662,307900002,1,1,R127
Blue,107901,792493461411,0,79022531662,307900001,0,1,R127
